StockCode,Observations,AveragePrice_INR,AverageDemand,MedianDemand,MinPrice_INR,MaxPrice_INR,PriceVariationPct,Elasticity,Elasticity_R2,Intercept,ElasticityType,Confidence
85099F,737,244.32957792621968,49.26594301221167,15.0,165.0,506.0,206.66666666666669,-1.2730885642713274,0.037765486191308706,9.471154651186394,Elastic,Low
22729,436,486.2202217125382,7.091743119266055,3.0,357.0,847.0000000000001,137.25490196078434,-1.2564224910853887,0.09915202349088215,9.016561482934577,Elastic,Low
22714,560,53.959375,9.4875,0.0,36.0,85.0,136.11111111111111,-1.248985427058544,0.06797430131953963,6.037774573506525,Elastic,Low
22652,485,200.6252479135984,20.915463917525773,8.0,145.0,421.0,190.3448275862069,-1.242158634904871,0.04352422420985336,8.41186356245288,Elastic,Low
23208,241,199.70061252716854,26.149377593360995,16.0,158.33333333333334,496.0,213.26315789473682,-1.2409852531169878,0.05051162049205149,8.954628138041937,Elastic,Low
82494L,737,394.6194376319666,19.690637720488468,11.0,230.0,847.0000000000001,268.26086956521743,-1.238432885775302,0.09536394010318039,9.36396850665895,Elastic,Low
21916,738,52.443857271906055,15.028455284552846,1.0,36.0,85.0,136.11111111111111,-1.2360414796547379,0.04756619559630426,6.223601490068132,Elastic,Low
22814,444,55.33258258258259,6.2207207207207205,0.0,36.0,85.0,136.11111111111111,-1.230148402226809,0.0939262928223017,5.863133225803136,Elastic,Low
22023,737,56.500772873599914,6.82089552238806,0.0,36.0,86.0,138.88888888888889,-1.2273224020628886,0.08272373716103165,5.827904329985961,Elastic,Low
22139,738,575.5429486803471,13.761517615176151,7.0,425.0,1126.0,164.94117647058823,-1.2266855639151615,0.04069219678597913,9.60906907843879,Elastic,Low
22817,449,51.101670378619154,7.5768374164810695,0.0,36.0,85.0,136.11111111111111,-1.2197996598840102,0.05585456599324279,5.904305302699713,Elastic,Low
82486,738,887.2785670485713,6.548780487804878,3.0,695.0,1663.0,139.28057553956833,-1.2189419474378878,0.037963897083939324,9.629982966235984,Elastic,Low
84536A,737,56.629285391225686,6.96472184531886,1.0,42.0,85.0,102.38095238095238,-1.2184220885273065,0.08035794164149035,5.988030868919686,Elastic,Low
21385,737,109.80179944433677,14.810040705563093,1.0,72.0,195.0,170.83333333333331,-1.2169959791260458,0.05297719867384387,7.052899342779739,Elastic,Low
22694,498,256.00189378894197,10.265060240963855,1.5,185.0,421.0,127.56756756756758,-1.216882024441062,0.04472051253688014,8.0196316038805,Elastic,Low
22716,556,51.441067146282975,9.537769784172662,0.0,36.0,85.0,136.11111111111111,-1.2153206251692248,0.050234918189660194,6.057755820828641,Elastic,Low
22624,584,985.6646628343119,5.522260273972603,3.0,765.0,1698.0,121.9607843137255,-1.2147371591067762,0.06866770830962299,9.655189807237036,Elastic,Low
21124,738,130.79491869918698,13.630081300813009,1.0,106.0,257.0,142.45283018867926,-1.2135927007316711,0.014112815318185867,7.266874020338166,Elastic,Low
22556,624,178.94769218050467,22.01121794871795,12.0,145.0,336.0,131.72413793103448,-1.2116086500399696,0.017452801661704598,8.305027973202016,Elastic,Low
22196,738,120.10345528455284,9.07859078590786,2.0,76.33333333333333,170.0,122.70742358078604,-1.2096848858019875,0.064329143274098,7.093369383307547,Elastic,Low
22080,738,242.26348238482387,5.246612466124661,0.0,145.0,421.0,190.3448275862069,-1.2089677657103668,0.1537342115128325,7.426288557781577,Elastic,Medium
21239,738,110.11346732911773,10.059620596205962,2.0,72.0,251.0,248.61111111111111,-1.208571379336345,0.06243680444204447,6.974102656003324,Elastic,Low
22867,455,259.08259727974126,29.498901098901097,0.0,185.0,421.0,127.56756756756758,-1.205986923998505,0.0287143306147708,8.076414140796432,Elastic,Low
22900,441,378.0608773187005,14.38548752834467,4.0,255.0,663.0,160.0,-1.205436435541874,0.04216264416294102,8.669480811586087,Elastic,Low
21975,737,63.10156199521871,42.706919945725915,12.0,40.0,130.0,225.0,-1.202609029884676,0.023827372137373626,7.222803260972224,Elastic,Low
21868,734,182.27545521387484,12.577656675749319,1.0,80.0,343.0,328.75,-1.200724086832018,0.10433415161390236,7.5619025239130515,Elastic,Medium
22047,733,41.77080491132333,11.186903137789905,0.0,34.0,42.0,23.52941176470588,-1.2001174322246255,0.0021653481927289553,5.440352141654112,Elastic,Low
84378,738,164.0231879382286,15.93089430894309,5.0,115.5,329.0,184.84848484848484,-1.1993710715521768,0.04939334299159792,7.790501859536864,Elastic,Low
48194,737,868.3451379466305,10.19538670284939,3.0,458.0,1579.0,244.7598253275109,-1.1988659983694485,0.04671889662827611,9.497881634523916,Elastic,Low
20992,737,82.06232473993668,8.373134328358208,0.0,38.0,170.0,347.3684210526316,-1.1967434611121708,0.12691218508643387,6.084647908778903,Elastic,Medium
22383,686,213.5853885586393,36.075801749271136,23.0,151.66666666666666,496.0,227.03296703296706,-1.1964585313143539,0.0436311339566563,9.054659459876163,Elastic,Low
37503,243,1198.3296835194983,10.135802469135802,5.0,910.5,2123.0,133.1685886875343,-1.1964215763193926,0.04302155547667175,10.120212872150319,Elastic,Low
23206,242,209.0945505825671,50.16528925619835,34.0,145.0,454.5,213.44827586206895,-1.195313068087004,0.03431163417259253,9.391319976948862,Elastic,Low
22385,678,242.090645924053,25.349557522123895,10.0,165.0,435.8,164.12121212121212,-1.1952458825269456,0.03522216256662891,8.501799061708665,Elastic,Low
21080,737,103.47971315206729,42.795115332428765,21.0,64.0,246.0,284.375,-1.19517189901855,0.025634981643665178,8.206603712107606,Elastic,Low
21213,738,76.90101948638534,54.96070460704607,24.0,41.0,213.0,419.5121951219512,-1.1883185187935972,0.05114298750866264,7.60752222523092,Elastic,Low
20675,737,158.03034825870648,8.89280868385346,1.0,106.0,257.0,142.45283018867926,-1.1857748329735633,0.057509729020266076,7.191207352614629,Elastic,Low
22079,736,198.83300498188407,6.850543478260869,1.0,145.0,378.5,161.0344827586207,-1.1854714722301105,0.049453551505201476,7.3854506794226635,Elastic,Low
35961,737,117.39118046132972,15.62550881953867,1.0,72.0,170.0,136.11111111111111,-1.18235122344879,0.05827286928583608,6.791994833119526,Elastic,Low
22690,528,873.2833017676767,4.801136363636363,0.0,458.0,1672.0,265.0655021834061,-1.1789350283286504,0.07113151526811234,8.742536485873128,Elastic,Low
21907,677,231.73618906942397,7.706056129985229,2.0,185.0,421.0,127.56756756756758,-1.1775590101013134,0.02921698521965921,7.7064822593366165,Elastic,Low
22381,684,279.2922062099694,13.761695906432749,4.0,185.0,506.0,173.51351351351352,-1.1754614115213924,0.06264478648057825,8.164063636110104,Elastic,Low
85049B,658,162.10410334346506,3.2264437689969605,0.0,115.5,257.0,122.5108225108225,-1.1751386433920095,0.1210803658526346,6.551375276365258,Elastic,Medium
82583,738,290.0103316850268,17.62059620596206,3.0,169.0,664.5,293.1952662721894,-1.1744228541574113,0.05665236234780824,8.258416413668504,Elastic,Low
20677,737,161.0857304387155,10.678426051560379,2.0,106.0,336.0,216.98113207547172,-1.1708949852593737,0.05464765021835993,7.2631440651294765,Elastic,Low
21917,737,51.70477159656265,10.89145183175034,0.0,36.0,85.0,136.11111111111111,-1.1640821901764433,0.046041009142409495,5.57481319545112,Elastic,Low
